_date_,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F
2021-07-01,7.800276,0.215086,2.240337,-4.690045,-2.83295,-1.476017
2021-08-01,5.257631,-0.961933,1.307642,-0.994647,-3.850176,-0.575431
2021-09-01,4.3779,-1.22193,1.595121,0.195611,-1.301719,1.446365
2021-10-01,4.290264,-2.031214,2.301321,-0.290493,-0.050151,1.634907
2021-11-01,4.439827,-2.968859,2.747344,0.932285,-1.376744,0.998547
2021-12-01,5.021645,-3.145615,3.416304,1.496147,-0.445553,1.513127
2022-01-01,5.473446,-3.347622,3.568046,1.285806,-0.152481,1.397399
2022-02-01,6.014918,-3.917848,3.886718,1.113818,0.115227,1.556485
2022-03-01,5.406276,-5.721769,3.714893,-0.79523,1.16343,2.135805
2022-04-01,5.48024,-6.087166,4.148861,1.2719,-1.423008,0.241779
2022-05-01,5.483713,-5.039052,4.948038,3.303749,-0.682785,0.655614
2022-06-01,6.459799,-4.376118,5.600585,1.338386,0.578969,0.345561
2022-07-01,5.849821,-4.63362,5.67303,0.530297,0.727572,0.138872
2022-08-01,4.913073,-5.257218,5.628815,1.091773,0.292555,-0.386414
2022-09-01,3.820506,-4.973231,5.55242,1.76567,0.908484,-0.432157
2022-10-01,3.051579,-4.689815,4.916422,0.965653,2.227941,-0.057751
2022-11-01,2.071594,-4.604471,3.690153,0.814308,1.2094,-0.942281
2022-12-01,1.765393,-3.958196,2.829842,2.417469,0.949252,-1.474935
2023-01-01,1.206136,-3.224006,1.945766,1.962579,2.404495,-0.935302
2023-02-01,1.011296,-2.910804,1.141138,1.227167,2.107179,-1.069758
2023-03-01,1.288671,-0.98924,0.27902,2.649317,1.150357,-0.84738
2023-04-01,1.47302,-1.019195,-0.660178,0.762063,2.783875,-0.038975
2023-05-01,1.252427,-1.74931,-1.983547,-0.976693,1.93302,-1.306076
2023-06-01,-0.097057,-2.058299,-2.650009,0.999727,1.330034,-1.675493
2023-07-01,-0.498442,-1.460882,-2.757391,1.662869,1.41789,-1.658799
2023-08-01,-0.760625,-1.284672,-2.713228,0.651552,2.790872,-1.127699
2023-09-01,-0.948772,-1.248366,-2.816554,0.664941,1.659728,-1.834642
2023-10-01,-1.090648,-0.864772,-2.726242,1.533,1.096562,-1.29017
2023-11-01,-0.64796,0.050725,-2.521842,0.771619,1.370274,-0.521286
2023-12-01,-0.655987,-0.16756,-2.719762,-0.304609,1.223563,0.194665
2024-01-01,-0.452629,-0.230395,-2.688773,-0.083024,-0.294382,-0.168644
2024-02-01,-0.259045,0.015497,-2.646892,0.810272,0.060983,0.324835
2024-03-01,0.279522,0.1014,-2.435324,0.005705,0.466239,-0.072869
2024-04-01,0.330672,0.341607,-2.633081,0.315938,-0.359508,-0.38801
2024-05-01,0.236973,0.50345,-2.409804,0.446224,-0.066313,0.324948
2024-06-01,0.477841,0.830805,-2.072346,-0.139713,0.325593,0.800324
2024-07-01,0.662649,0.367772,-1.828361,-0.350253,0.10815,0.490395
2024-08-01,0.867307,0.386878,-1.757803,-0.139831,-0.828512,0.18436
2024-09-01,0.95442,0.961531,-1.715956,0.505306,-0.584168,0.339664
2024-10-01,0.969126,1.544699,-1.655319,0.527811,-0.422196,0.16869
2024-11-01,0.90317,0.766018,-1.346735,-0.598366,1.337581,0.444274
2024-12-01,0.656105,-0.144377,-1.156973,-0.604104,0.633988,-0.398016
2025-01-01,0.4281328669353021,-0.6589701458574533,-1.0042928663178943,0.7284958186116259,0.32227469203309056,-0.4621202832876836
2025-02-01,0.11654553414552411,-0.7175922962638178,-0.827948967061752,0.20862803493059856,0.6332842333371147,-0.6773818418829323
2025-03-01,-0.1196870091583546,-1.0142390072225391,-0.679137108496988,-0.07439642375619293,0.7499220554048404,-0.6907810643564101
2025-04-01,-0.21026269806927175,-1.3094836849537692,-0.4611832926827445,0.1101106132704992,1.140303478545741,-0.3802749522329015
2025-05-01,-0.1718359676590025,-1.3184722662300665,-0.5531470767248505,0.8078888788671283,0.49290759043751564,-0.7024608372911936
2025-06-01,-0.1808498289004138,-1.359668238448042,-0.7208801068203897,1.7099317763649031,0.057761450514553614,-0.5488057691256589
2025-07-01,-0.22201868474081646,-1.1161403617139296,-0.7229810623592196,1.5458849745350185,0.4066025442335248,-0.28143320730605714
2025-08-01,-0.3251559693288173,-1.104302665168205,-0.6774567978031288,1.4261854589378116,0.7550624085164181,-0.22596253626604923
2025-09-01,-0.3679658195342314,-1.5491017544049408,-0.6416257597707501,0.40696864875842187,0.9307248087945289,-0.18161957670967632
2025-10-01,-0.33567083460021085,-2.025757679394016,-0.6340670426643491,0.2435041684510526,0.36300868308487966,-0.401266227917911
2025-11-01,-0.31799672210122765,-1.768203630636722,-0.6261584367283956,1.5287518329065306,-0.3859811331097056,-0.663719804729503
2025-12-01,-0.24150746381148747,-1.2589024718499622,-0.4815187617732094,1.2807536757581592,0.3958693832220038,-0.34133974378068527
