_date_,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F
2017-03-01,3.190308,-0.051378,-2.105365,-0.968614,0.255525,0.075649,0.39871
2017-04-01,2.9968,-0.19053,-2.035156,-1.271797,0.821385,-0.893235,-1.131394
2017-05-01,3.985453,-0.561811,-1.74549,-1.15298,0.957963,-0.206494,0.01075
2017-06-01,4.217462,-0.888982,-1.558976,-1.109357,0.355175,0.17645,-0.852991
2017-07-01,4.567296,-1.184039,-1.971364,-0.054028,-0.278111,0.250111,0.506065
2017-08-01,4.23754,-1.384755,-2.07895,-0.447563,-0.284788,0.264109,0.892858
2017-09-01,3.965353,-1.333627,-2.262872,-0.418099,0.20497,-0.21338,0.358656
2017-10-01,3.772495,-1.21773,-2.025556,-0.507774,0.204459,-0.132605,0.42788
2017-11-01,3.651381,-1.235375,-1.755437,-0.792961,0.29636,0.0528,-0.502896
2017-12-01,3.794909,-1.368211,-1.470756,-0.723211,-0.280575,0.35963,-0.282363
2018-01-01,3.634876,-1.620762,-1.756058,-0.402718,-0.719468,-0.213836,-0.517809
2018-02-01,3.72632,-1.939983,-1.652334,-0.491407,-0.799387,0.081439,0.270562
2018-03-01,3.592704,-1.889549,-1.42348,-0.518215,-0.782522,0.278526,-0.331252
2018-04-01,3.605697,-1.726048,-1.571788,-0.099926,-1.104844,0.890643,0.412745
2018-05-01,2.922419,-1.280856,-1.989158,0.149153,-0.942913,0.441662,-0.018264
2018-06-01,2.526215,-1.164196,-2.38181,-0.253247,-0.036852,0.028001,0.310382
2018-07-01,2.395382,-0.974428,-2.011735,-1.281669,0.545549,-0.19768,-0.232622
2018-08-01,2.452047,-1.016908,-1.924923,-1.02092,0.321968,-0.183403,-0.824738
2018-09-01,2.245351,-0.679196,-2.151359,-0.310281,-0.446397,0.221846,-0.248309
2018-10-01,2.11882,-0.707386,-2.038585,-0.796107,-0.296767,0.743856,0.19739
2018-11-01,2.011763,-0.634282,-2.396043,-0.912769,-0.389832,0.521643,0.292655
2018-12-01,2.00875,-0.989465,-2.683508,-0.479056,0.101682,0.156809,0.272908
2019-01-01,2.207882,-1.623961,-2.124584,-1.197494,0.583298,0.848784,0.401488
2019-02-01,2.4866,-1.734557,-1.961553,-0.638799,0.757178,0.786684,-0.197181
2019-03-01,2.50965,-1.563778,-2.590753,0.088933,0.70783,0.616222,0.442607
2019-04-01,2.286924,-1.428358,-2.156537,-0.865129,1.025638,0.085111,0.060348
2019-05-01,2.59959,-1.677332,-1.667395,-1.253703,0.64364,0.169197,-0.141653
2019-06-01,2.715533,-1.681892,-1.922297,-0.211035,0.033194,0.140511,-0.25863
2019-07-01,2.464956,-1.957814,-2.375042,-0.141213,-0.311343,0.500766,0.152591
2019-08-01,2.120007,-1.841187,-2.045217,-0.771412,-0.460475,0.182296,-0.455334
2019-09-01,1.996363,-1.758069,-1.529228,-0.871967,-0.506404,-0.258381,-0.814647
2019-10-01,1.850996,-1.704954,-1.282558,-0.435666,-0.710865,-0.478157,-1.36637
2019-11-01,1.571052,-1.822143,-1.301585,-0.206134,-1.054639,-0.315871,-1.078255
2019-12-01,1.499845,-1.643264,-1.691669,-0.818011,-1.495076,-0.355545,0.221267
2020-01-01,0.946092,-1.23509,-2.312961,-0.610483,-1.794491,-1.430568,0.053062
2020-02-01,0.807781,-1.305927,-2.409775,-1.223576,-1.490434,-1.616527,0.621142
2020-03-01,-2.806439,-0.417335,-4.864287,2.512613,-2.03854,-1.84513,-1.466572
2020-04-01,-12.314448,1.704151,-12.584954,10.056099,-1.662677,-1.362062,-1.012468
2020-05-01,-20.666681,0.530596,-12.076649,0.958632,2.747104,1.026556,4.03898
2020-06-01,-21.956935,-2.335858,-4.958836,-10.653645,3.050834,1.060505,0.785969
2020-07-01,-15.049464,-3.134819,-0.63891,-7.484289,-0.70529,-0.273788,-1.125757
2020-08-01,-10.255313,-2.741327,-0.026993,-2.839383,-2.944777,-0.840831,-1.020516
2020-09-01,-8.052378,-2.384706,-0.348048,-1.144929,-3.298287,-0.851301,0.425993
2020-10-01,-7.300853,-2.530891,-0.736892,-1.338554,-3.393806,-1.305012,0.684888
2020-11-01,-6.413579,-2.738149,-0.574402,-1.289995,-3.131928,-1.771324,1.241254
2020-12-01,-6.034824,-3.13067,-0.189392,-0.923352,-2.861669,-1.207596,0.063048
2021-01-01,-6.207244,-2.221104,-0.58841,0.668425,-3.002092,-0.444277,-0.208121
