_date_,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F
2023-03-01,1.795258,-0.029524,0.36295,-0.947919,-1.277024
2023-04-01,1.007725,-0.749763,-0.155372,1.1725,-0.291312
2023-05-01,0.410078,-1.525974,-0.181152,0.180047,0.032403
2023-06-01,-0.14966,-0.822342,-2.060566,-0.639215,0.048859
2023-07-01,-0.145337,-1.086551,-1.750972,0.003483,0.405062
2023-08-01,-0.322334,-1.811486,-1.660824,-0.064962,0.737542
2023-09-01,-0.754246,-1.510229,-2.275492,-0.455517,1.120643
2023-10-01,-0.69406,-1.13814,-2.551674,-0.893354,1.015828
2023-11-01,-0.413522,-1.072318,-2.259306,-0.426077,1.173341
2023-12-01,-0.299547,-1.357842,-2.216016,-0.128386,1.372134
2024-01-01,-0.179076,-1.074176,-2.157901,-0.994308,1.501723
2024-02-01,-0.012979,-0.766148,-2.0448,-0.737938,1.564389
2024-03-01,-0.141156,-1.711792,-1.947468,0.656378,1.7067
2024-04-01,-0.046568,-0.65448,-1.481063,-2.097536,0.872894
2024-05-01,0.11082,0.046542,-1.686751,-0.527546,1.157369
2024-06-01,0.632567,-0.457768,-0.18329,0.217292,1.642045
2024-07-01,0.541592,-0.070889,-0.535736,-1.113825,1.528494
2024-08-01,0.566353,0.043042,-0.504308,-0.324332,1.529099
2024-09-01,0.633004,-0.13881,0.07616,-0.17143,1.279461
2024-10-01,0.644171,0.297023,-0.10048,-0.779601,1.099021
2024-11-01,0.4969044172885938,-0.03481460143314358,0.07930795381386026,0.1025678307095198,1.253227556805607
2024-12-01,0.4695234680509846,0.11468736924544706,0.25084419423822757,-0.6893066393894753,1.0448544387561731
2025-01-01,0.4051042186410709,0.10145218564527589,-0.25837551812820814,-0.06639434386302501,0.8561365577254949
2025-02-01,0.2523885951607977,-0.022394181179048955,0.07388658086335721,-0.20477642659502515,0.6406692108235824
2025-03-01,0.271078775671356,0.345694150544374,-0.014517796040884254,-0.7507842885191056,0.4577096655798495
2025-04-01,0.2268842003466997,-0.8983846834859333,0.12617499507917695,0.5454628420745351,0.794116761339066
2025-05-01,0.2537237239942862,-1.3027176826623428,0.42613687372958475,-0.2986989280576545,0.29391128759656837
2025-06-01,0.09658015081574792,-0.29528038619559865,-1.504786783940227,-0.6069205067550028,-0.16527897608745334
2025-07-01,0.19728351856714305,0.23929239433813904,-1.6001396507702519,0.07251527563506155,-0.24102863212883596
2025-08-01,0.169350155254931,0.25653316416310007,-1.539005745800758,0.2177143300375397,-0.2928185189438166
2025-09-01,0.14027255996810392,-0.02358045299148054,-1.383953461952013,-0.3275844905002594,-0.19444130796418468
2025-10-01,0.1538973246281755,-0.1464606898491701,-1.2621437133200775,-0.0687368548074081,-0.017058443906663223
2025-11-01,0.2418659281329752,-0.08119911706737398,-1.258974125693533,-0.1313501479122673,-0.013024569511628892
2025-12-01,0.2757583941087516,-0.07206938869921437,-1.2483958351402529,-0.1234666356566827,-0.0057511350819046125
