_date_	fexp1	fexp2	fexp3	fexp4	fexp5
2023-05-01	0.41007806708279448	-1.5259737191989982	-0.18115233506418436	-0.18004718989078556	0.032402951706585732
2023-06-01	-0.14965991666762516	-0.82234173278556528	-2.060566434763398	0.63921466771589032	0.04885929918797332
2023-07-01	-0.14533722966834308	-1.0865511776868002	-1.750972071097783	-0.0034833636664890096	0.4050624383090088
2023-08-01	-0.32233445990876364	-1.8114862951833952	-1.6608243971710134	0.064961972733969752	0.73754206768151568
2023-09-01	-0.75424579575938672	-1.510228517055268	-2.2754919556120252	0.45551738711497928	1.1206434062984468
2023-10-01	-0.69405986885030688	-1.1381397597304918	-2.551674438353342	0.89335387125602096	1.0158283458879052
2023-11-01	-0.41352241310265352	-1.0723183217234992	-2.2593061789135504	0.42607726553947792	1.173340661210749
2023-12-01	-0.2995474398441094	-1.3578416633467986	-2.2160158898602004	0.12838619228340134	1.3721335188446008
2024-01-01	-0.1790764181950778	-1.0741757778912322	-2.1579013898108972	0.99430750108812112	1.5017230791774354
2024-02-01	-0.012979445013115098	-0.76614778085195568	-2.0447998936974208	0.7379382717786656	1.5643892349285884
2024-03-01	-0.14115572809349052	-1.7117921032949952	-1.947467945701162	-0.6563775297061448	1.706700030234483
2024-04-01	-0.046567879196079488	-0.65448045207920736	-1.4810631405986996	2.0975360465509832	0.87289398407928272
2024-05-01	0.11082006643508862	0.046541755542321648	-1.6867509354650978	0.52754566785752864	1.1573691149992886
2024-06-01	0.63256652868233872	-0.45776815882328064	-0.18329046381390468	-0.21729211806246448	1.6420453844387884
2024-07-01	0.54159224552978744	-0.070888660803948208	-0.5357358822640568	1.113824787557599	1.528494039354858
2024-08-01	0.56635276075592136	0.043042123877838128	-0.5043077130113728	0.32433223827906932	1.529098860751348
2024-09-01	0.63300377197949312	-0.13881019352206756	0.07616031771924344	0.17142981071644142	1.2794612799057774
2024-10-01	0.64417097765613408	0.29702302542101816	-0.10047972422621046	0.77960142136055872	1.0990214718364388
2024-11-01	0.5180377443645792	-0.21488295872808756	-0.26303075432442636	-0.38771413629345776	1.326017704669367
2024-12-01	NA	NA	NA	NA	NA
2025-01-01	NA	NA	NA	NA	NA
2025-02-01	NA	NA	NA	NA	NA
2025-03-01	NA	NA	NA	NA	NA
2025-04-01	NA	NA	NA	NA	NA
2025-05-01	NA	NA	NA	NA	NA
2025-06-01	NA	NA	NA	NA	NA
2025-07-01	NA	NA	NA	NA	NA
2025-08-01	NA	NA	NA	NA	NA
2025-09-01	NA	NA	NA	NA	NA
2025-10-01	NA	NA	NA	NA	NA
2025-11-01	NA	NA	NA	NA	NA
2025-12-01	NA	NA	NA	NA	NA
2026-01-01	NA	NA	NA	NA	NA
2026-02-01	NA	NA	NA	NA	NA
2026-03-01	NA	NA	NA	NA	NA
2026-04-01	NA	NA	NA	NA	NA
2026-05-01	NA	NA	NA	NA	NA
2026-06-01	NA	NA	NA	NA	NA
2026-07-01	NA	NA	NA	NA	NA
2026-08-01	NA	NA	NA	NA	NA
2026-09-01	NA	NA	NA	NA	NA
2026-10-01	NA	NA	NA	NA	NA
2026-11-01	NA	NA	NA	NA	NA
2026-12-01	NA	NA	NA	NA	NA
