_date_	fexp1f	fexp2f	fexp3f	fexp4f	fexp5f	fexp1f_h	fexp2f_h	fexp3f_h	fexp4f_h	fexp5f_h
2025-07-01	0.12479568771787748	0.094433856678992064	-1.9749662744343012	0.08725376220267888	-0.1501556272463458	0.12643171593683602	-0.21436790306885988	-1.7821188179656568	0.25443813381380232	-0.10730897337089684
2025-08-01	0.13356513198516224	-0.13990941455490444	-1.8970157765664636	-0.08088556723885456	-0.20094354549618064	0.12639530452175098	-0.23688293724016652	-1.8971849321819788	0.1899199438763496	-0.15577327035041306
2025-09-01	0.14111835180477116	-0.54302574864708512	-1.7580566861742888	0.47246956632923984	-0.10403257698766974	0.15049372255637514	-0.42738022231903984	-1.8048632892876036	0.27458701519417056	-0.10305601006045884
2025-10-01	0.19132078342356308	-0.79002518272884976	-1.6208659299140458	0.2182273216321502	0.07324930163919608	0.19621140888204756	-0.56128498978454248	-1.6159919986930618	0.33448525010181956	-0.021384888302793208
2025-11-01	0.2754922099452184	-0.455567855747214	-1.2893098330621192	0.57904243500955888	0.01742637902883367	0.25165743158850344	-0.52966799744378232	-1.394602566695569	0.39354310206892088	0.016035832193613944
2025-12-01	0.29299701231902804	-0.40662938699332792	-1.245987726928576	0.26626123815483648	0.0078156045935429152	0.30005023330699372	-0.45234019604817512	-1.2096004308133262	0.35943109609542932	0.030636078641782004
2026-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-02-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-03-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-04-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-05-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-06-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-07-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-08-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-09-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-10-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-11-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2026-12-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
