_date_,FAG1F,FAG2F,FAG3F,FAG4F,FAG5F,FCON1F,FCON2F,FCON3F,FCON4F,FCON5F,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F,FCPU1F,FCPU2F,FCPU3F,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F,FIMP1F,FIMP2F,FIMP3F,FIMP4F,FIMPU1F,FIMPU2F,FIMPU3F,FIMPU4F,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F,FINV1F,FINV2F,FINV3F,FINV4F,FINV5F,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F,f202004,f202003,fvirus
2001-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.367629,-0.478376,-0.767043,0.563149,-0.153406,-0.243273,-0.035277,0.053732,,,,,,,,,,,,,,,,,,0,0,0.0
2001-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.991972,-0.367397,-0.543063,0.620365,-0.197262,-0.197445,-0.085723,-0.03023,,,,,,,,,,,,,,,,,,0,0,0.0
2001-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.718897,-0.636748,-0.552908,0.527714,-0.239764,-0.151568,0.01356,-0.029274,,,,,,,,,,,,,,,,,,0,0,0.0
2001-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.833899,-0.735886,-0.170394,0.472314,-0.204166,-0.155313,0.072916,-0.00628,,,,,,,,,,,,,,,,,,0,0,0.0
2001-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.726913,-0.772552,-0.676807,0.137923,-0.17336,-0.19649,0.045485,0.019186,,,,,,,,,,,,,,,,,,0,0,0.0
2001-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,-1.131516,-0.840737,-0.71738,-0.03447,-0.148511,-0.217526,0.018701,-0.009329,,,,,,,,,,,,,,,,,,0,0,0.0
2001-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,-1.608543,-0.681859,-0.685326,-0.275943,-0.143906,-0.230406,0.031805,-0.005131,,,,,,,,,,,,,,,,,,0,0,0.0
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,-1.662561,-0.644625,-0.147395,0.252211,-1.025829,-0.046633,-1.053005,0.642258,,,,,,,,,,,,,,,,,,0,0,0.0
2002-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,-1.65498,-0.428446,-0.073368,0.379804,-1.394155,-0.025666,-0.284731,-1.043692,,,,,,,,,,,,,,,,,,0,0,0.0
2002-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,-2.099461,0.076862,-1.11197,0.018575,-1.809392,0.009473,0.649527,0.565185,,,,,,,,,,,,,,,,,,0,0,0.0
2002-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,-2.197811,-0.036289,-0.166474,0.374766,-1.38673,-0.282536,-0.120369,-0.073136,,,,,,,,,,,,,,,,,,0,0,0.0
2002-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,-2.225041,0.23871,0.652125,0.36643,-1.589376,-0.178758,-0.095821,0.098363,,,,,,,,,,,,,,,,,,0,0,0.0
2002-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,-1.830016,0.605921,-0.04877,-0.618643,-1.728135,-0.095866,-0.171308,-0.00436,,,,,,,,,,,,,,,,,,0,0,0.0
2002-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,-1.189033,0.123893,1.152932,-0.353367,-1.887452,-0.027088,-0.05141,-0.005651,,,,,,,,,,,,,,,,,,0,0,0.0
2002-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.528217,-0.228318,1.169323,-0.467434,-2.047429,0.049508,-0.127688,0.118049,,,,,,,,,,,,,,,,,,0,0,0.0
2002-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.301907,-0.352352,0.059561,-0.674607,-2.201112,0.098508,-0.155157,-0.024218,,,,,,,,,,,,,,,,,,0,0,0.0
2002-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.381583,-0.493621,0.30578,-0.254001,-2.324748,0.184018,-0.018943,0.030967,,,,,,,,,,,,,,,,,,0,0,0.0
2002-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.495903,-0.282964,0.039463,-0.05826,-2.382136,0.213494,-0.031327,0.06793,,,,,,,,,,,,,,,,,,0,0,0.0
2002-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.886551,-0.387051,0.138235,0.440569,-2.429688,0.260237,-0.060051,0.043852,,,,,,,,,,,,,,,,,,0,0,0.0
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.534373,-0.101484,-0.452229,0.077578,-9.580326,5.754748,-11.759514,7.081295,,,,,,,,,,,,,,,,,,0,0,0.0
2003-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.409132,-0.112519,-0.74378,0.041009,-9.253633,6.70568,0.369395,-13.457987,,,,,,,,,,,,,,,,,,0,0,0.0
